TAG NAME,TAG TYPE,PIXEL ID
ci - quantcast promise article - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Perfect+Colour+Promise
fc - vpv - product exterior - uk - no end,flc,9233916
fc - vpv - all pages - uk - no end,flc,9233916
fc - vpv - product overview - uk - no end,flc,9233916
cl - ev - conversion linker - uk - no end,gclidw,Unknown
ds - thank you page - nl - end 3012,fls,Unknown
dc - kids room article - uk - no end,flc,2610412
ci - quantcast advice overview - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Browse+Decorating+Advice
ch - pgv - usabilla events - global - no end,html,Unknown
ar - pv - remarketing - nl - no end,sp,1043704852
tw - twitter conversion - nl - no end,twitter_website_tag,ntp7l
tb - tradedoubler sale conversion - nl - no end,tdsc,{{1pc - tradedoubler - nl}}
fs - transaction complete - nl - no end,fls,Unknown
fc - remarketing incl custom param - nl - no end,flc,5434613
ac - pv - transaction - nl - no end,awct,1043704852
ch - ev - nanigans order success colour tester - nl - no end,html,Unknown
ch - pgv - asksid url to event - uk nl be fr - no end,html,Unknown
ch - ev - nanigans add to cart colour tester - nl - no end,html,Unknown
ch - pgv - global usabilla script - global - no end,html,Unknown
ci - quantcast tester product page - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Products+-+Colour+Tester
ci - quantcast scrapbook - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Scrap+Book
pt - ev - add to cart - nl - no end,pntr,2614131595003
pt - vpv - all pages - nl - no end,pntr,2614131595003
fc - vpv - cart page - uk - no end,flc,9233916
ci - quantcast shopping cart - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Shopping+Cart
awi - pgv - all pages - uk - no end,awj,12009
fc - pgv - decorators - uk - no end,flc,9233916
awi - ce - transaction complete - uk - no end,awc,Unknown
ac - transaction complete - uk - no end,awct,977159460
fc - vpv - payment page - uk - no end,flc,9233916
fc - vpv - confirmation page - uk - no end,fls,Unknown
dc - weathershield article - uk - no end,flc,2610412
fc - vpv - delivery page - uk - no end,flc,9233916
ch - ev - ecommerce 3.0 - uk fr nl be - no end,html,Unknown
ds - kleurtester add to cart - nl - end 3012,fls,Unknown
fc - find a store click on pdp - nl - no end,flc,5434613
pt - vpv - checkout - nl - no end,pntr,2614131595003
ch - ev - nanigans choose a colour - nl - no end,html,Unknown
fc - vpv - product interior - uk - no end,flc,9233916
ci - quantcast storefinder - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.StoreFinder
fc - vpv - address page - uk - no end,flc,9233916
ci - quantcast colour overview - uk - no end,img,//pixel.quantserve.com/pixel/p-TKw8bLUaDnse0.gif?labels=_fp.event.Browse+Colours
